metal_ox,gas_cate,temperature,density,resp_density,metal,resp_val
In2O3,diesel_volatiles,250,100,0.004,Ho,4.3
In2O3,diesel_volatiles,250,100,0.003,resp_val,2.3
In2O3,diesel_volatiles,250,100,0.003,Ru,1.9
In2O3,diesel_volatiles,250,100,0.003,Rh,3.0
In2O3,diesel_volatiles,250,100,0.003,Pd,3.8
In2O3,diesel_volatiles,250,100,0.003,Pt,1.9
In2O3,diesel_volatiles,250,100,0.003,La,2.2
In2O3,diesel_volatiles,250,100,0.003,Ce,2.3
In2O3,diesel_volatiles,250,100,0.003,Pr,2.9
In2O3,diesel_volatiles,250,100,0.003,Nd,2.5
In2O3,diesel_volatiles,250,100,0.003,Eu,3.0
In2O3,diesel_volatiles,250,100,0.003,Sb,2.5
In2O3,diesel_volatiles,250,100,0.003,Gd,6.2
In2O3,diesel_volatiles,250,100,0.003,Ho,3.3
In2O3,diesel_volatiles,250,100,0.002,resp_val,2.3
In2O3,diesel_volatiles,250,100,0.002,Ru,1.8
In2O3,diesel_volatiles,250,100,0.002,Rh,2.8
In2O3,diesel_volatiles,250,100,0.002,Pd,3.4
In2O3,diesel_volatiles,250,100,0.002,Pt,2.0
In2O3,diesel_volatiles,250,100,0.002,La,2.1
In2O3,diesel_volatiles,250,100,0.002,Ce,2.3
In2O3,diesel_volatiles,250,100,0.002,Pr,2.7
In2O3,diesel_volatiles,250,100,0.002,Nd,1.8
In2O3,diesel_volatiles,250,100,0.002,Eu,2.2
In2O3,diesel_volatiles,250,100,0.002,Sb,2.2
In2O3,diesel_volatiles,250,100,0.002,Gd,5.1
In2O3,diesel_volatiles,250,100,0.002,Ho,2.5
In2O3,diesel_volatiles,250,100,0.001,resp_val,2.3
In2O3,diesel_volatiles,250,100,0.001,Ru,1.7
In2O3,diesel_volatiles,250,100,0.001,Rh,3.2
In2O3,diesel_volatiles,250,100,0.001,Pd,2.6
In2O3,diesel_volatiles,250,100,0.001,Pt,1.9
In2O3,diesel_volatiles,250,100,0.001,La,2.1
In2O3,diesel_volatiles,250,100,0.001,Ce,2.3
